Filename: 1.yml Accuracy: 0.0842 Gain: -15.84% {'num_labels': 10, 'image_size': 16, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0965 Gain: -3.47% {'num_labels': 10, 'image_size': 16, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1510 Gain: 50.99% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1337 Gain: 33.66% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1411 Gain: 41.09% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1312 Gain: 31.19% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0891 Gain: -10.89% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1163 Gain: 16.34% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1238 Gain: 23.76% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1609 Gain: 60.89% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1535 Gain: 53.47% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 5}
Filename: 1.yml Accuracy: 0.1609 Gain: 60.89% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 5}
Filename: 1.yml Accuracy: 0.1114 Gain: 11.39% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 5}
Filename: 1.yml Accuracy: 0.1064 Gain: 6.44% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 5}
Filename: 1.yml Accuracy: 0.1089 Gain: 8.91% {'num_labels': 10, 'image_size': 64, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 5}
Filename: 1.yml Accuracy: 0.1114 Gain: 11.39% {'num_labels': 10, 'image_size': 64, 'num_iter': 30000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 5}
Filename: 1.yml Accuracy: 0.1000 Gain: 0.00% {'num_labels': 10, 'image_size': 64, 'num_iter': 30000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 5}
Filename: 1.yml Accuracy: 0.0733 Gain: -26.67% {'num_labels': 10, 'image_size': 64, 'num_iter': 30000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 50}
Filename: 1.yml Accuracy: 0.1000 Gain: 0.00% {'num_labels': 10, 'image_size': 64, 'num_iter': 30000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 50}
Filename: 1.yml Accuracy: 0.1000 Gain: 0.00% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0850 Gain: -15.00% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.0728 Gain: -27.15% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1628 Gain: 62.79% {'num_labels': 10, 'image_size': 64, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1196 Gain: 19.60% {'num_labels': 10, 'image_size': 16, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1163 Gain: 16.28% {'num_labels': 10, 'image_size': 16, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1362 Gain: 36.21% {'num_labels': 10, 'image_size': 32, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1728 Gain: 72.76% {'num_labels': 10, 'image_size': 32, 'num_iter': 5000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1628 Gain: 62.79% {'num_labels': 10, 'image_size': 32, 'num_iter': 10000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
